C1,Accuracy,0.70,0.73,0.77,0.73,0.74,0.72,0.74,0.75
C1,Precision,0.75,0.78,0.80,0.81,0.79,0.79,0.79,0.81
C1,Recall,0.82,0.80,0.86,0.78,0.82,0.78,0.83,0.79
C1,F1,0.78,0.79,0.83,0.79,0.80,0.78,0.81,0.80
C2,Accuracy,0.72,0.73,0.74,0.73,0.75,0.74,0.73,0.72
C2,Precision,0.75,0.81,0.77,0.80,0.79,0.78,0.79,0.76
C2,Recall,0.84,0.76,0.87,0.80,0.84,0.85,0.81,0.83
C2,F1,0.79,0.78,0.81,0.80,0.81,0.81,0.79,0.79
C3,Accuracy,0.73,0.76,0.73,0.76,0.74,0.74,0.75,0.76
C3,Precision,0.76,0.77,0.76,0.79,0.77,0.78,0.77,0.78
C3,Recall,0.86,0.90,0.85,0.86,0.86,0.86,0.88,0.87
C3,F1,0.80,0.83,0.80,0.82,0.81,0.81,0.82,0.82
