C1,Accuracy,0.90,0.93,0.93,0.91,0.95,0.95,0.92,0.92
C1,Precision,0.91,0.93,0.94,0.91,0.96,0.96,0.93,0.94
C1,Recall,0.90,0.92,0.93,0.90,0.94,0.95,0.92,0.92
C1,F1,0.90,0.93,0.93,0.90,0.95,0.95,0.92,0.92
C2,Accuracy,0.84,0.83,0.85,0.86,0.79,0.88,0.90,0.88
C2,Precision,0.85,0.87,0.86,0.88,0.82,0.89,0.90,0.90
C2,Recall,0.84,0.82,0.87,0.87,0.80,0.88,0.90,0.87
C2,F1,0.84,0.82,0.86,0.86,0.81,0.88,0.90,0.87
C3,Accuracy,0.87,0.85,0.87,0.89,0.90,0.84,0.89,0.93
C3,Precision,0.88,0.85,0.89,0.89,0.90,0.86,0.91,0.93
C3,Recall,0.86,0.85,0.87,0.89,0.91,0.83,0.90,0.93
C3,F1,0.86,0.85,0.87,0.89,0.90,0.83,0.90,0.93
