C1,Accuracy,0.90,0.92,0.93,0.95,0.94,0.90,0.94,0.94
C1,Precision,0.90,0.92,0.92,0.95,0.94,0.90,0.94,0.95
C1,Recall,0.90,0.92,0.92,0.94,0.94,0.91,0.92,0.93
C1,F1,0.90,0.92,0.92,0.94,0.93,0.90,0.93,0.93
C2,Accuracy,0.87,0.84,0.86,0.89,0.87,0.90,0.89,0.85
C2,Precision,0.89,0.85,0.87,0.90,0.88,0.91,0.90,0.86
C2,Recall,0.89,0.84,0.87,0.90,0.86,0.90,0.88,0.86
C2,F1,0.87,0.83,0.87,0.89,0.86,0.89,0.88,0.84
C3,Accuracy,0.88,0.90,0.90,0.89,0.91,0.91,0.87,0.88
C3,Precision,0.87,0.92,0.91,0.90,0.91,0.92,0.87,0.90
C3,Recall,0.89,0.90,0.92,0.89,0.92,0.91,0.89,0.90
C3,F1,0.87,0.90,0.90,0.88,0.91,0.91,0.86,0.88
