1,Accuracy,[0.947, 0.967, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96]
1,Precision,[0.947, 0.967, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96]
1,Recall,[0.947, 0.967, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96]
1,F1,[0.947, 0.967, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96]
2,Accuracy,[0.92, 0.953, 0.953, 0.947, 0.94, 0.953, 0.953, 0.953]
2,Precision,[0.924, 0.954, 0.953, 0.947, 0.941, 0.953, 0.953, 0.953]
2,Recall,[0.92, 0.953, 0.953, 0.947, 0.94, 0.953, 0.953, 0.953]
2,F1,[0.92, 0.953, 0.953, 0.947, 0.94, 0.953, 0.953, 0.953]
3,Accuracy,[0.94, 0.98, 0.96, 0.967, 0.967, 0.967, 0.967, 0.973]
3,Precision,[0.94, 0.98, 0.96, 0.967, 0.967, 0.967, 0.967, 0.974]
3,Recall,[0.94, 0.98, 0.96, 0.967, 0.967, 0.967, 0.967, 0.973]
3,F1,[0.94, 0.98, 0.96, 0.967, 0.967, 0.967, 0.967, 0.973]
4,Accuracy,[0.953, 0.973, 0.953, 0.973, 0.967, 0.96, 0.967, 0.973]
4,Precision,[0.954, 0.974, 0.953, 0.973, 0.967, 0.96, 0.967, 0.974]
4,Recall,[0.953, 0.973, 0.953, 0.973, 0.967, 0.96, 0.967, 0.973]
4,F1,[0.953, 0.973, 0.953, 0.973, 0.967, 0.96, 0.967, 0.973]
5,Accuracy,[0.94, 0.987, 0.967, 0.973, 0.967, 0.967, 0.967, 0.967]
5,Precision,[0.94, 0.987, 0.968, 0.974, 0.968, 0.968, 0.968, 0.968]
5,Recall,[0.94, 0.987, 0.967, 0.973, 0.967, 0.967, 0.967, 0.967]
5,F1,[0.94, 0.987, 0.967, 0.973, 0.967, 0.967, 0.967, 0.967]
